sample_name,cent_tolerance,algorithm,fundamental_f1,harmonic_f1,combined_f1
fundamental_opposite_harmonic,120,pYIN,0.8930,0.8821,0.9455
fundamental_opposite_harmonic,120,HPS,0.8654,0.7552,0.8738
fundamental_opposite_harmonic02,120,SWIPE,0.9251,0.7473,0.8849
fundamental_opposite_harmonic02,120,YIN,0.9340,0.8156,0.9223
fundamental_opposite_harmonic02,120,pYIN,0.8983,0.8610,0.9161
fundamental_opposite_harmonic02,120,HPS,0.8610,0.7090,0.8274
fundamental_steps,120,SWIPE,0.8962,0.8087,0.8966
fundamental_steps,120,YIN,0.8903,0.7971,0.9018
fundamental_steps,120,pYIN,0.8815,0.8744,0.9184
fundamental_steps,120,HPS,0.8390,0.7018,0.8156
fundamental_steps02,120,SWIPE,0.8968,0.7845,0.9137
fundamental_steps02,120,YIN,0.8850,0.7902,0.9211
fundamental_steps02,120,pYIN,0.8592,0.8613,0.9240
fundamental_steps02,120,HPS,0.8571,0.8031,0.8957
fundamental_steps03,120,SWIPE,0.8960,0.7947,0.9308
fundamental_steps03,120,YIN,0.8860,0.7961,0.9369
fundamental_steps03,120,pYIN,0.8885,0.8680,0.9586
fundamental_steps03,120,HPS,0.8465,0.7577,0.8836
kargyraa,120,SWIPE,0.8789,0.0000,0.1347
kargyraa,120,YIN,0.9633,0.4507,0.7740
kargyraa,120,pYIN,0.9697,0.4211,0.7328
kargyraa,120,HPS,0.2383,0.1628,0.0885
khoomei,120,SWIPE,0.8287,0.5119,0.7098
khoomei,120,YIN,0.8324,0.5397,0.7709
khoomei,120,pYIN,0.8314,0.5810,0.7363
khoomei,120,HPS,0.5463,0.2405,0.4425
overtone_scale,120,SWIPE,0.8750,0.8081,0.9057
overtone_scale,120,YIN,0.8800,0.8768,0.9409
overtone_scale,120,pYIN,0.8421,0.8279,0.8914
overtone_scale,120,HPS,0.8810,0.8163,0.9139
overtone_scale_02,120,SWIPE,0.9306,0.7927,0.9048
overtone_scale_02,120,YIN,0.8991,0.7919,0.8953
overtone_scale_02,120,pYIN,0.9097,0.9064,0.9425
overtone_scale_02,120,HPS,0.7627,0.7041,0.7700
overtone_singing_song,120,SWIPE,0.8568,0.7481,0.8771
overtone_singing_song,120,YIN,0.8753,0.7526,0.9030
overtone_singing_song,120,pYIN,0.8469,0.8178,0.8980
overtone_singing_song,120,HPS,0.7837,0.6911,0.8052
paralel_overtones01,120,SWIPE,0.9367,0.8444,0.9258
paralel_overtones01,120,YIN,0.9315,0.7937,0.9008
paralel_overtones01,120,pYIN,0.9375,0.8369,0.9210
paralel_overtones01,120,HPS,0.9231,0.7786,0.8881
paralel_overtones02,120,SWIPE,0.9065,0.8121,0.9086
paralel_overtones02,120,YIN,0.9071,0.8050,0.9074
paralel_overtones02,120,pYIN,0.8744,0.8416,0.8972
paralel_overtones02,120,HPS,0.7755,0.7151,0.7843
sygyt,120,SWIPE,0.8170,0.7122,0.8596
sygyt,120,YIN,0.7063,0.4330,0.7154
sygyt,120,pYIN,0.7176,0.6977,0.7902
sygyt,120,HPS,0.1683,0.3796,0.3136
sygyt_02,120,SWIPE,0.8434,0.7295,0.8489
sygyt_02,120,YIN,0.7097,0.5571,0.7581
sygyt_02,120,pYIN,0.6351,0.7515,0.7437
sygyt_02,120,HPS,0.6877,0.6069,0.7051
changing_fundamental,150,SWIPE,0.9284,0.7942,0.9052
changing_fundamental,150,YIN,0.9379,0.7907,0.9117
changing_fundamental,150,pYIN,0.9169,0.8590,0.9245
changing_fundamental,150,HPS,0.9133,0.7596,0.8783
fundamental_opposite_harmonic,150,SWIPE,0.9014,0.7847,0.9091
fundamental_opposite_harmonic,150,YIN,0.9026,0.8111,0.9261
fundamental_opposite_harmonic,150,pYIN,0.8930,0.8821,0.9455
fundamental_opposite_harmonic,150,HPS,0.8708,0.7588,0.8785
fundamental_opposite_harmonic02,150,SWIPE,0.9345,0.7541,0.8934
fundamental_opposite_harmonic02,150,YIN,0.9340,0.8156,0.9223
fundamental_opposite_harmonic02,150,pYIN,0.9030,0.8610,0.9186
fundamental_opposite_harmonic02,150,HPS,0.8761,0.7158,0.8392
fundamental_steps,150,SWIPE,0.9014,0.8087,0.8995
fundamental_steps,150,YIN,0.8903,0.7971,0.9018
fundamental_steps,150,pYIN,0.8815,0.8744,0.9184
fundamental_steps,150,HPS,0.8447,0.7314,0.8320
fundamental_steps02,150,SWIPE,0.9007,0.7845,0.9160
fundamental_steps02,150,YIN,0.8899,0.7902,0.9239
fundamental_steps02,150,pYIN,0.8674,0.8613,0.9282
fundamental_steps02,150,HPS,0.8897,0.8031,0.9135
fundamental_steps03,150,SWIPE,0.9002,0.7947,0.9332
fundamental_steps03,150,YIN,0.8860,0.7961,0.9369
fundamental_steps03,150,pYIN,0.8927,0.8703,0.9619
fundamental_steps03,150,HPS,0.8577,0.7702,0.8959
kargyraa,150,SWIPE,0.9035,0.0000,0.1347
kargyraa,150,YIN,0.9633,0.4507,0.7740
kargyraa,150,pYIN,0.9697,0.4211,0.7328
kargyraa,150,HPS,0.2383,0.1628,0.0885
khoomei,150,SWIPE,0.8333,0.5119,0.7098
khoomei,150,YIN,0.8324,0.5397,0.7709
khoomei,150,pYIN,0.8314,0.5810,0.7363
khoomei,150,HPS,0.5463,0.2642,0.4529
overtone_scale,150,SWIPE,0.8750,0.8081,0.9057
overtone_scale,150,YIN,0.8800,0.8768,0.9409
overtone_scale,150,pYIN,0.8421,0.8279,0.8914
overtone_scale,150,HPS,0.8810,0.8163,0.9139
overtone_scale_02,150,SWIPE,0.9306,0.7927,0.9048
overtone_scale_02,150,YIN,0.8991,0.7954,0.8967
overtone_scale_02,150,pYIN,0.9097,0.9064,0.9425
overtone_scale_02,150,HPS,0.7627,0.7107,0.7729
